,u00,u01,u02,u03,u04,u05,u07,u08,u09,u10
u00,,0.7002777777777778,0.7180555555555554,0.9100885812959802,0.7083333333333334,0.9345833333333332,0.7442307692307691,0.7044444444444444,0.7404166666666666,0.6881944444444444
u01,0.7002777777777778,,0.8703246010392475,0.8861092215376418,0.7028822055137844,0.9086681492982465,0.7346153846153847,0.7968421052631578,0.6934821998276804,0.7270507915154379
u02,0.7180555555555554,0.8703246010392475,,0.8615260705308783,0.7051378446115287,0.9074079019758151,0.7692307692307693,0.8900955587880461,0.9396121720931744,0.8620949074074075
u03,0.9100885812959802,0.8861092215376418,0.8615260705308783,,0.9115210182847386,0.9238805970149252,0.8590254635681934,0.9223307123929948,0.7924967874777346,0.8774027038796177
u04,0.7083333333333334,0.7028822055137844,0.7051378446115287,0.9115210182847386,,0.9232682150164888,0.7153846153846154,0.8043859649122804,0.9265579204048583,0.6840852130325813
u05,0.9345833333333332,0.9086681492982465,0.9074079019758151,0.9238805970149252,0.9232682150164888,,0.9993589743589744,0.910944858474608,0.8594295819274311,0.914977336908485
u07,0.7442307692307691,0.7346153846153847,0.7692307692307693,0.8590254635681934,0.7153846153846154,0.9993589743589744,,0.7403846153846154,0.6993589743589743,0.7692307692307693
u08,0.7044444444444444,0.7968421052631578,0.8900955587880461,0.9223307123929948,0.8043859649122804,0.910944858474608,0.7403846153846154,,0.9013201722179136,0.8274081134717809
u09,0.7404166666666666,0.6934821998276804,0.9396121720931744,0.7924967874777346,0.9265579204048583,0.8594295819274311,0.6993589743589743,0.9013201722179136,,0.6902261686799753
u10,0.6881944444444444,0.7270507915154379,0.8620949074074075,0.8774027038796177,0.6840852130325813,0.914977336908485,0.7692307692307693,0.8274081134717809,0.6902261686799753,
